EventTime	Type	Energy_MeV	Time_ns
1829	proton	0.008948	8.861077
1829	proton	0.002043	8.861251
1836	proton	2.016563	9.103645
1836	proton	0.572663	9.107197
1844	proton	0.121652	8.594536
1852	proton	0.184842	8.838953
1852	proton	2.775851	8.718412
1852	proton	1.533604	8.722202
1852	proton	0.001448	8.725153
1860	proton	1.034452	10.279606
1874	proton	0.611437	8.659328
1874	proton	0.020853	8.660418
1874	proton	0.001038	8.660683
1910	proton	2.550813	8.682950
1910	proton	1.266674	8.686705
1910	proton	0.007005	8.689078
1927	proton	0.874140	8.273459
1932	proton	1.663779	9.899169
1932	proton	0.084798	9.902357
1960	proton	1.321447	9.298489
1960	proton	0.000554	9.300978
1973	proton	1.895223	9.276292
1973	proton	0.334646	9.279752
1978	proton	0.825845	9.357789
1994	proton	1.442981	9.304432
1994	proton	0.010515	9.307184
2017	proton	1.876885	9.456317
2017	proton	0.336617	9.459761
2019	proton	1.330263	9.781332
2019	proton	0.020268	9.783840
2022	proton	0.152574	7.772147
2023	proton	0.052059	9.828032
2033	proton	0.599392	9.332806
2033	proton	1.750199	9.324229
2033	proton	0.188323	9.327537
2033	proton	0.002033	9.327970
2050	proton	1.448925	8.921588
2050	proton	0.035988	8.924353
2053	proton	0.353002	8.931062
2065	proton	1.603743	9.099981
2071	proton	0.921770	9.407482
2077	proton	2.009795	10.107042
2077	proton	0.561407	10.110590
2078	proton	0.850289	10.283667
2087	proton	2.137018	8.967881
2087	proton	0.740451	8.971503
2087	proton	0.019662	8.972827
2087	proton	0.001424	8.973090
2089	proton	2.629505	8.699405
2098	proton	1.541530	8.921835
2098	proton	0.023149	8.924802
2107	proton	0.246107	8.813675
2107	proton	0.003247	8.814181
2110	proton	0.281403	9.466754
2110	proton	0.002367	9.467309
2110	proton	0.325245	9.371752
2121	proton	2.314144	8.896418
2121	proton	1.000975	8.900112
2121	proton	0.012747	8.901939
2124	proton	0.531963	9.431366
2139	proton	2.253416	10.118059
2139	proton	0.870599	10.121731
2139	proton	0.001233	10.123302
2140	proton	0.547041	9.071715
2140	proton	0.017306	9.072692
2142	proton	0.972892	9.047506
2142	proton	0.005270	9.049277
2144	proton	0.239467	9.913766
2144	proton	0.003661	9.914263
2146	proton	0.648370	9.808632
2154	proton	0.649238	9.185287
2154	proton	0.004289	9.186445
2159	proton	0.421477	8.906198
2167	proton	0.184704	9.176256
2167	proton	0.001140	9.176684
2167	proton	1.212949	9.048222
2173	proton	1.216458	9.602504
2173	proton	0.010844	9.604772
2173	proton	0.001620	9.604963
2206	proton	0.490519	8.937951
2206	proton	0.006439	8.938832
2207	proton	0.056220	9.182759
2207	proton	1.306775	9.019728
2207	proton	0.007735	9.022186
2209	proton	1.204329	9.712470
2209	proton	0.884574	9.597529
2224	proton	1.186668	9.749654
2224	proton	0.001961	9.751860
2233	proton	1.075077	9.401172
2241	proton	1.092810	9.082721
2249	proton	1.691866	9.191277
2249	proton	0.118772	9.194508
2256	proton	1.073271	9.266001
2270	proton	1.140960	8.898165
2271	proton	0.023810	9.556890
2271	proton	1.107803	9.447967
2271	proton	0.026037	9.450010
2271	proton	0.003919	9.450282
2274	proton	0.197488	9.192214
2274	proton	0.010720	9.192658
2275	proton	1.932920	9.527203
2275	proton	0.388431	9.530695
2276	proton	1.314276	9.393445
2281	proton	0.489473	9.211927
2281	proton	0.010187	9.212806
2288	proton	2.099292	10.096991
2288	proton	0.633782	10.100593
2289	proton	0.880399	7.632526
2289	proton	0.005221	7.634115
2295	proton	0.544667	10.155280
2295	proton	0.005112	10.156253
2297	proton	2.116209	9.611535
2297	proton	0.644078	9.615146
2306	proton	0.280779	9.001148
2325	proton	0.674571	9.011277
2327	proton	0.547499	9.814240
2327	proton	0.002821	9.815218
2329	proton	0.343010	9.683769
2340	proton	1.098664	9.578770
2348	proton	1.041000	9.099103
2348	proton	0.022784	9.101010
2348	proton	0.002069	9.101278
2357	proton	0.770655	9.180319
2357	proton	0.020703	9.181700
2379	proton	0.001792	29.525104
2379	proton	0.003697	12.560359
2379	proton	0.036557	11.117134
2379	proton	1.165286	10.347404
2379	proton	0.008878	10.349565
2384	proton	2.899229	8.267671
2384	proton	1.686713	8.271475
2384	proton	0.117963	8.274698
2394	proton	1.145958	8.850916
2403	proton	2.212315	8.064462
2403	proton	0.779703	8.068118
2416	proton	0.389794	9.182151
2416	proton	0.005818	9.182868
2425	proton	2.457895	9.019526
2425	proton	1.080102	9.023261
2425	proton	0.020013	9.025247
2432	proton	2.308253	8.275432
2432	proton	0.889448	8.279124
2442	proton	0.716124	9.283031
2442	proton	0.000773	9.284310
2444	proton	0.784074	10.115671
2444	proton	0.003461	10.117077
